num,payload_ent,tcp_ent,src_ip,src_mac,dst_ip,dst_mac,seq,ack,ip_len,func_code,ref_num,data_cnt,trans_id,mbtcp_len,sport,dport,payload_len,label
24040,151.0,148.0,212,70,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24041,153.0,151.0,0,240,212,70,0,0,0,0,0,0,0,0,28,3,40,0
24042,128.0,131.0,0,240,212,70,0,0,1,0,0,0,0,0,28,3,48,0
24043,137.0,138.0,212,70,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24044,144.0,145.0,0,240,212,70,0,0,0,0,0,0,0,0,28,3,40,0
24045,127.0,132.0,0,240,212,70,0,0,2,85,0,0,190,148,28,3,52,0
24046,149.0,150.0,0,240,127,215,0,0,0,0,0,0,0,0,28,3,40,0
24047,160.0,157.0,127,215,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24048,134.0,136.0,212,70,0,240,0,0,1,85,0,0,190,106,3,28,50,0
24049,160.0,157.0,127,215,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24050,152.0,152.0,0,240,127,215,0,0,0,0,0,0,0,0,28,3,40,0
24051,131.0,135.0,0,240,127,215,0,0,1,0,0,0,0,0,28,3,48,0
24052,152.0,151.0,127,215,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24053,152.0,152.0,0,240,127,215,0,0,0,0,0,0,0,0,28,3,40,0
24054,139.0,140.0,0,240,127,215,0,0,2,85,0,0,192,148,28,3,52,0
24055,151.0,155.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24056,147.0,151.0,255,38,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24057,148.0,149.0,127,215,0,240,0,0,1,85,0,0,192,106,3,28,50,0
24058,153.0,154.0,255,38,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24059,151.0,153.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24060,118.0,127.0,0,240,255,38,0,0,1,0,0,0,0,0,28,3,48,0
24061,144.0,149.0,255,38,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24062,144.0,148.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24063,130.0,137.0,0,240,255,38,0,0,2,85,0,0,193,148,28,3,52,0
24064,152.0,149.0,0,240,42,255,0,0,0,0,0,0,0,0,28,3,40,0
24065,153.0,149.0,42,255,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24066,139.0,143.0,255,38,0,240,0,0,1,85,0,0,193,106,3,28,50,0
24067,158.0,153.0,42,255,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24068,152.0,149.0,0,240,42,255,0,0,0,0,0,0,0,0,28,3,40,0
24069,148.0,149.0,0,240,85,68,0,0,0,0,0,0,0,0,28,3,40,0
24070,150.0,150.0,85,68,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24071,153.0,152.0,85,68,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24072,145.0,147.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24073,147.0,149.0,0,240,85,68,0,0,0,0,0,0,0,0,28,3,40,0
24074,152.0,151.0,170,0,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24075,153.0,152.0,170,0,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24076,139.0,142.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24077,127.0,131.0,0,240,170,0,0,0,1,0,0,0,0,0,28,3,48,0
24078,150.0,149.0,170,0,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24079,147.0,147.0,0,240,212,70,0,0,0,0,0,0,0,0,28,3,40,0
24080,150.0,151.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
